instructor,course_title,course_id,professor_score
"Vidrin, Ilya",The Eloquent Presenter,61349,-2.4
"O'Leary, Bridget",The Eloquent Presenter,61351,2.5
"McSherry, Frances",19th/20th-C Fashion in Europe,61304,-7.6
"Braga-Kenyon, Paula",Programmed Learning,54507,1.3
"Williams, Ashley",Behavior Assessment,54609,-18.7
"Braga-Kenyon, Paula",Research  Design Methods,54141,-6.0
"Kenyon, Shawn",Service Administration,54610,-12.1
"Davis, Nicole",Advanced Learning Seminar 1,53118,1.9
"Laprime, Amanda",Advanced Learning Seminar 1,54503,7.3
"Dudley, Laura",Applied Programming Seminar 1,54508,3.7
"Williams, Ashley",Applied Programming Seminar 1,54509,-3.7
"Kenyon, Shawn",Applied Programming Seminar 2,53749,-3.9
"Budil, David",Research Skills/Ethics in Chem,52742,0.0
"Mihajlovikj, Vidoje",Object-Oriented Design,53716,-1.9
"Razzaq, Leena",Object-Oriented Design,54112,-8.3
"Bonaci, Tamara",Object-Oriented Design,54545,-22.8
"Jahanjou, Hamidreza",Object-Oriented Design,54565,-7.3
"Cheng, Zhuoqun",Object-Oriented Design,54566,2.5
"Mihajlovikj, Vidoje",Recitation for CS 5004,53717,-2.4
"Mihajlovikj, Vidoje",Recitation for CS 5004,53742,2.1
"Jelani, Andrew",Recitation for CS 5004,54546,0.2
"Miller, Mark",Recitation for CS 5004,54567,0.1
"Miller, Mark",Recitation for CS 5004,54568,5.6
"Slaughter, Adrienne",Algorithms,54553,-2.6
"Slaughter, Adrienne",Computer Systems,54554,-11.5
"Feinberg, Daniel",Database Management Sys,53718,4.9
"Chhay, Bruce",Database Management Sys,54547,5.3
"Shah, Michael",Computer Graphics,54022,4.9
"Slaughter, Adrienne",Found of Software Engineering,54556,-1.2
"Feinberg, Daniel",Mobile Application Development,54116,0.3
"Mathapathi, Shivakumar",Mobile Application Development,54607,-9.6
"Mullen, Anthony",Web Development,54448,1.6
"Saripalli, Kanaka",Fundamentals - Computer Netwkg,54449,-20.1
"Ezzat, Ahmed",Algorithms,53743,-19.2
"Van Der Poel, Andrew",Algorithms,54491,1.5
"Sun, Zhifeng",Algorithms,54548,6.9
"Martell, Craig",Algorithms,54555,-7.4
"Sellke, Sarah",Algorithms,54573,4.7
"Martell, Craig",Algorithms,54602,4.9
"Slaughter, Adrienne",Experiential Project,55099,8.9
"Arunagiri, Sara",Machine Learning,54095,-9.6
"Pavlu, Virgil",Information Retrieval,54450,8.0
"Arunagiri, Sara",Data Mining Techniques,54096,-11.8
"Aguiar, Everaldo",Data Mining Techniques,54557,9.1
"Mesch, Francisco",Grad Co-op Seminar,54559,2.7
"Selinger, Ethan",Grad Co-op Seminar,54577,5.1
"Selinger, Ethan",Grad Co-op Seminar,54632,5.6
"Mesch, Francisco",Grad Co-op Seminar,54632,5.6
"Hand, Paul",Deep Learning,54774,8.0
"Evans, Abigail",Special Topics Software Engr,54560,9.9
"Peters, Daniel",Object-Oriented Design w/C#,54124,-5.7
